【超期报废气瓶总数】
总超期报废气瓶数：46547

【超期报废气瓶排名前三】
1. 永康市三超燃气有限公司：464
2. 兰溪大众燃气有限公司：1112
3. 磐安县义磐液化气有限公司：654

【各公司超期报废气瓶数量明细】
公司名称	超期数量
永康市三超燃气有限公司	464
兰溪大众燃气有限公司	1112
磐安县义磐液化气有限公司	654
浦江县潘宅液化气有限公司	2010
浦江郑家坞液化气有限公司	1629
义乌市苏溪义北石油液化气有限公司	303
浙江省磐安县煤气有限公司	1187
义乌市康民燃气有限公司	13
浦江县永兴液化气有限公司	1511
东阳市阳光液化气有限公司	1422
义乌市城建燃气经营有限公司	8
浙江浦江克林液化石油气有限公司	3060
兰溪市兰城燃气配送服务有限公司	636
义乌市煤气有限公司	122
武义县鑫源液化石油气储灌站（普通合伙）	3037
金华市宏业液化气有限公司	2966
永康市侨兴液化石油气有限公司	2223
永康市液化石油气有限公司	4247
金华市液化气有限公司	7704
东阳市燃气有限公司	6419
浙江省武义县液化石油气有限公司	5820
